"title","type","text"
"The Tragedy of Romeo and Juliet","Tragedy","The Complete Works of William Shakespeare"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","The Tragedy of Romeo and Juliet"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","The Library of the Future Complete Works of William Shakespeare"
"The Tragedy of Romeo and Juliet","Tragedy","Library of the Future is a TradeMark (TM) of World Library Inc."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","<<THIS ELECTRONIC VERSION OF THE COMPLETE WORKS OF WILLIAM"
"The Tragedy of Romeo and Juliet","Tragedy","SHAKESPEARE IS COPYRIGHT 1990-1993 BY WORLD LIBRARY, INC., AND IS"
"The Tragedy of Romeo and Juliet","Tragedy","PROVIDED BY PROJECT GUTENBERG ETEXT OF CARNEGIE MELLON UNIVERSITY"
"The Tragedy of Romeo and Juliet","Tragedy","WITH PERMISSION.  ELECTRONIC AND MACHINE READABLE COPIES MAY BE"
"The Tragedy of Romeo and Juliet","Tragedy","DISTRIBUTED SO LONG AS SUCH COPIES (1) ARE FOR YOUR OR OTHERS"
"The Tragedy of Romeo and Juliet","Tragedy","PERSONAL USE ONLY, AND (2) ARE NOT DISTRIBUTED OR USED"
"The Tragedy of Romeo and Juliet","Tragedy","COMMERCIALLY.  PROHIBITED COMMERCIAL DISTRIBUTION INCLUDES BY ANY"
"The Tragedy of Romeo and Juliet","Tragedy","SERVICE THAT CHARGES FOR DOWNLOAD TIME OR FOR MEMBERSHIP.>>"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","1595"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","THE TRAGEDY OF ROMEO AND JULIET"
"The Tragedy of Romeo and Juliet","Tragedy",""
